,unique_neuron,pull_encoding,gaze_encoding,juice_encoding,partner_PC1_encoding,recorded_animal
794,20250423_7,Reactive,None,None,None,kanga
795,20250423_20,Reactive,None,None,None,kanga
796,20250423_40,Both,Reactive,Both,Reactive,kanga
797,20250423_43,Reactive,Reactive,Both,Reactive,kanga
798,20250423_46,Reactive,Reactive,Reactive,None,kanga
799,20250423_55,Reactive,Reactive,Reactive,None,kanga
800,20250423_65,Reactive,None,None,None,kanga
801,20250423_67,Both,Reactive,Reactive,Both,kanga
802,20250423_80,Both,Both,Both,Both,kanga
803,20250423_87,Reactive,None,Reactive,None,kanga
804,20250423_88,Reactive,None,Reactive,None,kanga
805,20250423_101,Reactive,Predictive,Reactive,None,kanga
806,20250423_107,Reactive,None,Both,None,kanga
807,20250423_126,Reactive,None,Reactive,None,kanga
808,20250423_129,Both,Reactive,Both,Predictive,kanga
809,20250423_148,Reactive,None,None,None,kanga
810,20250423_165,None,None,None,None,kanga
811,20250423_176,Both,Reactive,Both,Both,kanga
812,20250423_179,Reactive,None,None,None,kanga
813,20250423_184,Reactive,Both,Reactive,Reactive,kanga
814,20250423_185,None,Reactive,Reactive,None,kanga
815,20250423_194,Reactive,Reactive,Reactive,None,kanga
816,20250423_216,None,None,None,None,kanga
817,20250423_218,Reactive,None,None,None,kanga
818,20250423_220,None,None,None,None,kanga
819,20250423_222,Reactive,None,None,None,kanga
820,20250423_224,None,None,None,None,kanga
873,20250424_MC_6,Both,Reactive,Both,Predictive,kanga
874,20250424_MC_8,Reactive,None,Both,None,kanga
875,20250424_MC_11,Reactive,None,Reactive,None,kanga
876,20250424_MC_13,Reactive,Both,Both,None,kanga
877,20250424_MC_15,Reactive,None,Reactive,None,kanga
878,20250424_MC_24,Reactive,Reactive,Reactive,None,kanga
879,20250424_MC_28,None,None,None,None,kanga
880,20250424_MC_38,Reactive,Reactive,None,None,kanga
881,20250424_MC_40,Both,None,Both,Reactive,kanga
882,20250424_MC_43,Reactive,Reactive,None,None,kanga
883,20250424_MC_47,Reactive,None,Both,None,kanga
884,20250424_MC_49,Reactive,Reactive,Reactive,None,kanga
885,20250424_MC_52,Reactive,Reactive,Both,None,kanga
886,20250424_MC_54,None,None,Reactive,None,kanga
887,20250424_MC_61,Reactive,Both,Both,None,kanga
888,20250424_MC_78,Reactive,None,Both,None,kanga
889,20250424_MC_81,None,None,None,None,kanga
890,20250424_MC_85,Reactive,None,None,None,kanga
891,20250424_MC_95,Reactive,None,Reactive,None,kanga
892,20250424_MC_101,Reactive,Reactive,Reactive,None,kanga
893,20250424_MC_108,Reactive,None,Both,None,kanga
894,20250424_MC_112,Reactive,None,None,None,kanga
895,20250424_MC_114,None,None,None,None,kanga
896,20250424_MC_116,None,None,None,None,kanga
1005,20250428_MC_7,Reactive,Reactive,Both,Predictive,kanga
1006,20250428_MC_9,Reactive,Predictive,None,None,kanga
1007,20250428_MC_11,Both,Reactive,Both,None,kanga
1008,20250428_MC_15,Reactive,Both,Reactive,Predictive,kanga
1009,20250428_MC_17,Reactive,Reactive,None,None,kanga
1010,20250428_MC_20,Reactive,Reactive,Both,None,kanga
1011,20250428_MC_29,Reactive,Reactive,None,None,kanga
1012,20250428_MC_34,Both,Reactive,Reactive,None,kanga
1013,20250428_MC_36,Reactive,None,Reactive,None,kanga
1014,20250428_MC_38,Reactive,None,None,None,kanga
1015,20250428_MC_40,None,None,None,None,kanga
1016,20250428_MC_44,None,None,None,None,kanga
1017,20250428_MC_45,Reactive,Reactive,Both,None,kanga
1018,20250428_MC_48,Reactive,Reactive,Reactive,Predictive,kanga
1019,20250428_MC_57,Reactive,Reactive,Reactive,None,kanga
1020,20250428_MC_64,None,None,None,None,kanga
1021,20250428_MC_69,Reactive,None,None,None,kanga
1022,20250428_MC_71,None,Reactive,Reactive,None,kanga
1023,20250428_MC_73,Reactive,None,None,None,kanga
1069,20250429_MC_5,Reactive,Reactive,Both,Both,kanga
1070,20250429_MC_8,None,None,None,None,kanga
1071,20250429_MC_11,Reactive,None,None,Reactive,kanga
