date,recorded_animal,task_condition,succ_rate,neuron_num,role,followerPercentage,selfvspartner_pullnum,self_pullnum,partner_pullnum,selfvspartner_followerPer,pull_id,ipi,path_length,net_displacement,tortuosity,mean_speed,mean_curvature,radius_of_gyration,convex_hull_volume,angle_span_net,angle_span_total,pca_var_explained_pc1,pca_var_explained_pc2,pca_var_explained_pc3
20240531,dodson,MC,0.6463414634146342,12,follower,0.6060606060606061,0.673469387755102,66.0,98.0,2.0480668756530824,0,5.9,2.661965773947138,0.2622262998501868,10.151406534996498,0.022369460285270065,0.1457759194173207,0.19802442936486023,0.019689846420863914,0.35780599453043666,5.576228195165532,0.16057854205278824,0.14283481804136805,0.1307091290369806
20240531,dodson,MC,0.6463414634146342,12,follower,0.6060606060606061,0.673469387755102,66.0,98.0,2.0480668756530824,1,3.6,2.564625130884921,0.4378649973085382,5.857113828803671,0.02155147168810858,0.12320033484780199,0.21713397047913424,0.022999123407236807,0.6176279750242057,4.305514294890697,0.16057854205278824,0.14283481804136805,0.1307091290369806
20240531,dodson,MC,0.6463414634146342,12,follower,0.6060606060606061,0.673469387755102,66.0,98.0,2.0480668756530824,2,2.6666666666666665,3.0039729469712633,0.8018899741016053,3.7461161056873844,0.02524347014261566,0.1055744639163344,0.2940975716571062,0.025121299717362804,0.7959882793503724,3.6266625955018243,0.16057854205278824,0.14283481804136805,0.1307091290369806
20240531,dodson,MC,0.6463414634146342,12,follower,0.6060606060606061,0.673469387755102,66.0,98.0,2.0480668756530824,3,3.2,2.4450027058678296,0.2134865856745654,11.452722887211948,0.020546241225780082,0.13562441595149557,0.19884075972886764,0.013596965896063129,1.0242078630035376,5.158547509225507,0.16057854205278824,0.14283481804136805,0.1307091290369806
20240531,dodson,MC,0.6463414634146342,12,follower,0.6060606060606061,0.673469387755102,66.0,98.0,2.0480668756530824,4,1.5333333333333334,2.998471499271539,0.8738630190937651,3.431283203151322,0.0251972394896768,0.11242734446524752,0.27248382747986566,0.020312910253318404,0.8587727762609924,3.9065502601040145,0.16057854205278824,0.14283481804136805,0.1307091290369806
20240531,dodson,MC,0.6463414634146342,12,follower,0.6060606060606061,0.673469387755102,66.0,98.0,2.0480668756530824,5,3.4,3.4802404119033645,0.2466590482952583,14.109518527523921,0.029245717747087098,0.0956115373443377,0.27746417695599696,0.012089771676169597,0.1777135980985924,3.474788636628469,0.16057854205278824,0.14283481804136805,0.1307091290369806
20240531,dodson,MC,0.6463414634146342,12,follower,0.6060606060606061,0.673469387755102,66.0,98.0,2.0480668756530824,6,3.066666666666667,4.273509638433855,0.7162240965459967,5.9667213921493705,0.03591184570112483,0.1165163461597757,0.38327024325339204,0.02773481607210352,0.5160285887693589,2.5504897523997294,0.16057854205278824,0.14283481804136805,0.1307091290369806
20240531,dodson,MC,0.6463414634146342,12,follower,0.6060606060606061,0.673469387755102,66.0,98.0,2.0480668756530824,7,4.133333333333334,3.2269937584881023,0.6601746840880185,4.888090737599171,0.027117594609143716,0.0954161431813677,0.3152358412383392,0.021220058696633393,0.7562767959144682,3.127048477751569,0.16057854205278824,0.14283481804136805,0.1307091290369806
20240531,dodson,MC,0.6463414634146342,12,follower,0.6060606060606061,0.673469387755102,66.0,98.0,2.0480668756530824,8,2.2666666666666666,2.798136161479107,0.7601134453692848,3.6812086123798173,0.02351374925612695,0.09901363746608367,0.27095541897520925,0.022211688086013363,0.9645090370890704,3.963194259447309,0.16057854205278824,0.14283481804136805,0.1307091290369806
20240531,dodson,MC,0.6463414634146342,12,follower,0.6060606060606061,0.673469387755102,66.0,98.0,2.0480668756530824,9,1.5,3.506486066464812,0.7364174102130737,4.761546940410129,0.029466269466090857,0.09653164943152973,0.32501681647610947,0.0622932755526767,0.5570315788145216,3.0153158204368125,0.16057854205278824,0.14283481804136805,0.1307091290369806
