date,recorded_animal,role,clusterID,r_fr_slope_pull_rt_all,p_fr_slope_pull_rt_all,r_fr_slope_social_evidence_all,p_fr_slope_social_evidence_all
20240531,dodson,follower,18,-0.36635356390138313,0.004320663090052061,-0.2904648346405805,0.025633346285892124
20240531,dodson,follower,22,-0.10577059367539274,0.4252788848827786,0.23882964696695966,0.06850119664581857
20240531,dodson,follower,25,-0.2170417452768646,0.09869622443686107,-0.15131130248986846,0.2526327824887622
20240531,dodson,follower,37,-0.46124015892510917,0.0002363233892210107,-0.050343322828416984,0.7049396848844391
20240531,dodson,follower,41,-0.24109783636525783,0.06583829616031177,-0.12312270417838692,0.35287358500736493
20240531,dodson,follower,47,-0.45863202676665393,0.00025901359149726647,-0.17207890898208286,0.19249677468884188
20240531,dodson,follower,52,-0.497564962529747,6.0871669270863664e-05,0.013393784469330608,0.9198022188554464
20240531,dodson,follower,90,-0.5224175838260469,2.1945313033100313e-05,-0.015958365329081986,0.904512128792126
20240531,dodson,follower,94,-0.4612980318971362,0.00023584115715797517,0.02821047015860976,0.8320332323207171
20240531,dodson,follower,102,-0.4420129035465372,0.0004567632963183242,0.15407856753797008,0.24395785672518722
20240531,dodson,follower,107,-0.40673798232304015,0.001389606728024371,0.009329792701772737,0.9440888592343206
20240531,dodson,follower,116,-0.42265650488911843,0.0008536521316037263,-0.10643976031106109,0.422339305577811
20240603_MC,dodson,follower,8,-0.3919517054605565,0.0006617744516609191,0.29168373964732563,0.012918109468999728
20240603_MC,dodson,follower,25,-0.5040776859137508,6.354119286724488e-06,0.2021684640707339,0.0885553531459516
20240603_MC,dodson,follower,28,-0.42855538944342875,0.0001728562413217014,0.3743238226233872,0.0011982931250105158
20240603_MC,dodson,follower,60,-0.5530100345844957,4.719033400099151e-07,0.45383617603971405,6.229877710191991e-05
20240603_MC,dodson,follower,92,-0.5216858970813468,2.6114577033448486e-06,0.05481223477997361,0.6474544261137191
20240603_MC,dodson,follower,104,-0.43572705924431715,0.0001304578426479205,0.4405861822596622,0.00010742470818299533
20240603_MC,dodson,follower,109,-0.5195466838090991,2.917141870893135e-06,0.3893556146025512,0.0007237460879610404
20240604,dodson,follower,1,-0.5536641118699953,2.573244896977568e-07,0.3398663993037885,0.0028521497534496915
20240604,dodson,follower,8,-0.5306204075720329,9.740642205669574e-07,0.3437251463690215,0.0025334306285298533
20240604,dodson,follower,9,-0.3956074695500925,0.00044308965705319996,0.14710144515800025,0.20788482641603742
20240604,dodson,follower,21,-0.32253911636704474,0.004769530766617114,0.11462751701632114,0.32745023808804846
20240604,dodson,follower,22,-0.3248110208030347,0.004465923193506568,0.029485298035939224,0.8017244981445153
20240604,dodson,follower,26,-0.35324530225645095,0.0018791859957626206,0.21459756785857,0.06447831042698265
20240604,dodson,follower,34,-0.36141405501879115,0.0014435978218036093,0.22446318264608256,0.052862698822195776
20240604,dodson,follower,55,-0.3333112695708021,0.0034764498816195503,0.01026373582821196,0.9303568243402719
20240604,dodson,follower,88,-0.5266101107680634,1.215858342795108e-06,0.2571736073730899,0.02592127908288886
20240604,dodson,follower,98,-0.3576464917927713,0.001631691502421999,0.3339640104230185,0.003409241343414383
20240604,dodson,follower,99,-0.44499332566420446,6.33085426788345e-05,0.31162593836043756,0.00649751286717134
20240604,dodson,follower,103,-0.42070321805028604,0.00017113948586972981,0.2439572809534228,0.03492487914948049
20240604,dodson,follower,116,-0.5201604866640497,1.7265742892395324e-06,0.380793204580981,0.0007508375593173528
20240604,dodson,follower,119,-0.3749120275740097,0.000919505182653415,0.0863118136854045,0.4615461780803935
20240605_MC,dodson,leader,0,-0.5183605424785019,0.0008567253807865953,0.2662852959150037,0.10609702450285168
20240605_MC,dodson,leader,21,-0.33748840570158495,0.03825100893035589,-0.1848602136513733,0.2665262730020966
20240605_MC,dodson,leader,24,-0.46541027812962343,0.003235595391650966,-0.08084421759561436,0.629450346087612
20240605_MC,dodson,leader,69,-0.32186793399708385,0.04876497670875457,-0.11313435996407081,0.4988588257512537
20240605_MC,dodson,leader,106,-0.5509843819385546,0.00033731815908513366,0.20111575245770053,0.22598564586400666
20240605_MC,dodson,leader,112,-0.446188164088806,0.004987959285313732,0.013158139885290743,0.9375051370494404
20240605_MC,dodson,leader,117,-0.35721758658974856,0.027687150515823666,0.06130307765289811,0.7146501164454813
20240605_MC,dodson,leader,118,-0.5665615006802348,0.0002087726215021894,0.11542228937845128,0.4901599576175482
20240605_MC,dodson,leader,121,-0.2859975658778976,0.08173969006067737,-0.2535893742480624,0.12447834434411378
20240605_MC,dodson,leader,137,-0.47529353481942227,0.002564865372496585,0.3165486066600981,0.052834591362925086
20240605_MC,dodson,leader,139,-0.3279327962053434,0.04443649560752829,-0.2192586594897163,0.18596461237643871
20240605_MC,dodson,leader,140,-0.41740363712538864,0.00912547885548153,0.14193345698855006,0.3953114250763034
20240605_MC,dodson,leader,143,-0.41502784940554016,0.009570517687518475,-0.0024287788819515425,0.9884535301377655
20240606_MC,dodson,follower,1,-0.5484168036317716,3.941775075851518e-06,-0.011064633738390846,0.9319811147504934
20240606_MC,dodson,follower,4,-0.5934838597806052,3.701186359647235e-07,0.2083990883624761,0.10406822928704076
20240606_MC,dodson,follower,27,-0.5417826288169186,5.426994625719775e-06,0.1608971390387145,0.21156245880698832
20240606_MC,dodson,follower,28,-0.5260489456753836,1.1281072630392561e-05,0.06642557122883551,0.6079804855973359
20240606_MC,dodson,follower,31,-0.2952794145098637,0.019809875545696555,0.3137030221044618,0.013033448838505572
20240606_MC,dodson,follower,64,-0.5004015233712933,3.448603764661754e-05,0.14034338077461628,0.2766078625450981
20240606_MC,dodson,follower,98,-0.4349476850279439,0.0004113473096301053,0.08288166371170394,0.5218912007736962
20240606_MC,dodson,follower,104,-0.43965140819920345,0.0003498421732738304,0.16844431724045772,0.19063144670853427
20240606_MC,dodson,follower,111,-0.3634809649360301,0.0036861714916251683,0.1711877286826699,0.18340428099275474
20240606_MC,dodson,follower,113,-0.4467344563800948,0.0002729110419094632,0.21666288679519008,0.09075225538312022
20240606_MC,dodson,follower,120,-0.22716185945894612,0.07580461170374761,0.09159259267709641,0.4789365808872943
20240606_MC,dodson,follower,132,-0.5833743965475523,6.491057174599189e-07,0.2530517401733642,0.04721034231175691
20240606_MC,dodson,follower,134,-0.5551252023687163,2.8328049822680794e-06,0.2937802221225321,0.020473932958749764
20250218,dodson,follower,34,-0.5528387956076912,5.586247071278348e-05,0.07278169140596738,0.6268425267275295
20250218,dodson,follower,36,-0.5925469267823602,1.1436957099051157e-05,-0.02220991474478817,0.8821994556889107
20250218,dodson,follower,106,-0.3384744085765139,0.019958202410383943,0.14146232043742574,0.3428834997755375
20250218,dodson,follower,169,-0.43775493831993634,0.002089535388119336,0.20819763328071644,0.16021784407985976
20250218,dodson,follower,192,-0.5195553205962549,0.00018224424602298164,0.07372026579286285,0.6223924688406766
20250218,dodson,follower,195,-0.44637540925408264,0.0016609592964682536,-0.0975976845449072,0.5139885803888022
20250218,dodson,follower,207,-0.26609574142571907,0.07062409493785779,-0.08403006435628245,0.5744135589701762
20250218,dodson,follower,232,-0.37940133659535735,0.008534759357799763,-0.06934710587941084,0.6432380927819478
20250220,dodson,follower,41,-0.3685434459979587,0.0914641256416883,-0.11838248299921154,0.5997900376663676
20250220,dodson,follower,52,-0.24479546622433654,0.2722121861392226,0.12860957286633112,0.5684078256653818
20250220,dodson,follower,93,-0.3806593167185774,0.08051256210055817,0.14066044184825213,0.5323904086112212
20250220,dodson,follower,98,-0.44194764690698024,0.0394622724702024,0.12230717450212276,0.5876615170423726
20250220,dodson,follower,122,-0.4583389154104491,0.03193007734519058,0.11362700535639121,0.6146241210723825
20250220,dodson,follower,144,-0.41919380573103543,0.052143804737098766,0.4806346475634933,0.023559826328108064
20250220,dodson,follower,148,-0.6137549107856943,0.0023803933920667993,-0.10530304211954697,0.640940234432278
20250220,dodson,follower,152,-0.593725340024545,0.0035782519554534357,0.2739319382937853,0.21734450666473898
20250220,dodson,follower,214,-0.4341450805989924,0.043504261649562226,0.11484488707956281,0.6108109146880525
20250220,dodson,follower,241,-0.487926665234386,0.02124067191930688,0.21152367327032046,0.34467237508955895
20250220,dodson,follower,245,-0.6460644243014946,0.0011615710378792931,0.2713804602491875,0.22183070709506925
20250220,dodson,follower,250,-0.2966570199084037,0.18003852193625772,0.059139154796534275,0.7937654872682418
20250220,dodson,follower,284,-0.47948228588494535,0.023944170245234035,0.23788730091418434,0.28639720249981454
20250220,dodson,follower,295,-0.28099885555124865,0.2052347700191152,-0.23497688214127352,0.29250866831734557
20250220,dodson,follower,303,-0.4509511118019482,0.035170053265396774,0.2775766764264632,0.2110411319367888
20250220,dodson,follower,307,-0.36075297959709746,0.09906633692168014,0.10459096505860234,0.6432114966982352
20250305,dodson,follower,0,-0.4018818692564916,0.015114920653895914,0.17812105202647038,0.29864214216015406
20250305,dodson,follower,7,-0.6156617383027997,6.423393333780324e-05,0.014353235550767146,0.9337845324436854
20250305,dodson,follower,10,-0.7052671534430168,1.5629219512199264e-06,0.03202048241954786,0.8529232218947399
20250305,dodson,follower,20,-0.6653604862663409,9.534604086970207e-06,-0.03442428103107481,0.8420161603018304
20250305,dodson,follower,24,-0.5889690894705386,0.0001575148844740358,-0.006592219298686447,0.9695618933132537
20250305,dodson,follower,31,-0.5334669625715802,0.0008070689933527585,-0.0065276872406911934,0.9698597196645402
20250305,dodson,follower,32,-0.5639948376179522,0.0003405120328640582,0.1724314889593444,0.3145913799703789
20250305,dodson,follower,43,-0.5704102972159724,0.0002809820106111506,0.003675626661904602,0.9830259006755677
20250305,dodson,follower,47,-0.6712203535740314,7.437197419023749e-06,0.1536385830139309,0.370986792926035
20250305,dodson,follower,64,-0.5542797299577776,0.000452183569084119,-0.05440241427167643,0.7526643096422059
20250305,dodson,follower,113,-0.6072874221049116,8.585208568675529e-05,0.38355281852637096,0.020932138620149046
20250305,dodson,follower,132,-0.37233424820259364,0.025335088259294918,0.057878622212653906,0.7374009270599163
20250305,dodson,follower,141,-0.5715059511374286,0.0002718028571741668,0.009549678081591677,0.9559177074002184
20250305,dodson,follower,146,-0.5499573170399438,0.0005115867581412996,0.2024575742959246,0.23633918102935922
20250305,dodson,follower,154,-0.530441107363306,0.0008752970137642529,-0.09792844495995282,0.5698972081199577
20250305,dodson,follower,155,-0.5951225364532364,0.0001289922912081382,0.21187150926831555,0.21478810775447377
20250305,dodson,follower,177,-0.5430950677625044,0.0006202199804025801,0.13971375323259883,0.4163926680960137
20250305,dodson,follower,226,-0.6254394105954273,4.5293701773749065e-05,0.16709393241738008,0.33003067249156987
20250305,dodson,follower,244,-0.6663435053465572,9.148880532848202e-06,0.17986205824411075,0.29386662900750843
20250305,dodson,follower,249,-0.5841433443789202,0.00018371509381632397,0.25277750022988543,0.13690502196630996
20250305,dodson,follower,256,-0.38166493722193695,0.02162496894319448,0.2079468395625111,0.22360204476370962
20250305,dodson,follower,259,-0.5040959769521971,0.0017204088700509864,-0.014203685922843656,0.9344729550972372
20250305,dodson,follower,275,-0.6545799387810023,1.4851270044457977e-05,0.1420884407395861,0.40843564912312136
20250305,dodson,follower,276,-0.49120985379102566,0.0023490214419953767,-0.07482482297250438,0.6644963934858061
20250305,dodson,follower,277,-0.6653952477267899,9.5207153130108e-06,0.047190821854206394,0.7846191796097975
20250305,dodson,follower,281,-0.44853493092765656,0.0060752508774585875,-0.005572904626120159,0.9742666505911073
20250305,dodson,follower,287,-0.5564845599576353,0.0004243161803981149,0.2786469779579264,0.09983464991169243
20250305,dodson,follower,300,-0.5261500645633337,0.0009807947730581367,-0.09876354800688256,0.5665958563242146
20250310,dodson,leader,5,-0.32918677429107146,0.019579891135750354,0.03202014577662038,0.825289873148767
20250310,dodson,leader,6,-0.5568536794722597,2.6717416530329937e-05,0.11808960869444088,0.4140637926372166
20250310,dodson,leader,35,-0.42896845608779205,0.0018814308966228228,0.06222498463178302,0.6677160285041119
20250310,dodson,leader,48,-0.5303109334578211,7.459621571091055e-05,0.1918541521973587,0.181961899685929
20250310,dodson,leader,62,-0.5912502227434859,6.152707989622208e-06,0.13560275764390856,0.3477560254949862
20250310,dodson,leader,69,-0.4598109113646096,0.0007811029774350621,0.061925702301420874,0.6692219950951136
20250310,dodson,leader,146,-0.5109988767815662,0.00014945703921952813,0.10691886250964805,0.45988835678772305
20250310,dodson,leader,156,-0.5329215542144419,6.768645547834969e-05,0.0581334558541112,0.6884142183127399
20250310,dodson,leader,158,-0.394589189769334,0.004573218344555472,0.12970954782710925,0.3692987458908466
20250310,dodson,leader,183,-0.6056288232355458,3.1632875327891433e-06,0.17412409148828784,0.2265222354433071
20250310,dodson,leader,198,-0.07286286569582062,0.615065393394727,-0.13439949686854522,0.3520904417677199
20250310,dodson,leader,239,-0.5414712934249047,4.8954165531049275e-05,0.13329716439649747,0.35609022320833916
20250310,dodson,leader,252,-0.44921700669065856,0.0010662836987845568,0.2536178477955629,0.07553977829948229
20250310,dodson,leader,262,-0.6181845815780347,1.7218816059648578e-06,-0.04574151647390906,0.7524384125575352
20250310,dodson,leader,269,-0.4465663294117079,0.0011508539702764899,-0.00987716422907789,0.9457241758915736
20250310,dodson,leader,283,-0.5125810100637893,0.000141406199129259,0.12797521302089077,0.3757884100532666
20250310,dodson,leader,289,-0.5599952476162218,2.3521768359492778e-05,0.2310993829268324,0.10636912301815474
20250310,dodson,leader,296,-0.17445093873491732,0.22563809849818714,-0.127910157568633,0.3760331585346323
20250310,dodson,leader,330,-0.5358345102830158,6.067172532190797e-05,0.22210535373861193,0.12108560042055426
20250310,dodson,leader,341,-0.5443073556916439,4.387992709428443e-05,0.1562143899392677,0.27866124361816796
20250310,dodson,leader,343,-0.47184235133124475,0.0005418111023438357,0.010682749146238712,0.9413048702616842
20250401,dodson,follower,0,-0.5089803485649586,0.002111729111658949,0.14484691840138905,0.41374133695266774
20250401,dodson,follower,3,-0.5730450062218553,0.0003968083156225702,0.04553042986666483,0.7981918140015797
20250401,dodson,follower,7,-0.44509815281655557,0.008345981093735322,-0.09396847222723265,0.5970809102054424
20250401,dodson,follower,8,-0.6390480080118299,4.7441415625185536e-05,0.2652395168814693,0.1295062915085693
20250401,dodson,follower,10,-0.4754963618902135,0.004481906326157991,0.1118766809515963,0.5287407602663968
20250401,dodson,follower,13,-0.4142572704353614,0.014862194202448227,0.03693773867704052,0.8357001746536797
20250401,dodson,follower,14,-0.4318149988958122,0.010768663800336494,-0.26884294092729416,0.12418641961324794
20250401,dodson,follower,15,-0.6786969198023252,1.0246753547246698e-05,0.09826286552276678,0.5803486085643964
20250401,dodson,follower,17,-0.6215999908287493,8.716658669687051e-05,0.1509106895560673,0.39425101922152417
20250401,dodson,follower,21,-0.3658259391493978,0.03336186274415359,0.35646891616402726,0.03851441540339207
20250401,dodson,follower,22,-0.5260280328687479,0.0013970231666959106,0.14851939372334938,0.4018731341302455
20250401,dodson,follower,23,-0.6013010929294346,0.00016922724067830962,0.2212284907786782,0.20861921292799476
20250401,dodson,follower,24,-0.4705995856737273,0.004972781493473766,0.43037313444055286,0.011064250066201955
20250401,dodson,follower,25,-0.3701217957729112,0.03119214007827876,0.2545680876652401,0.1462478861928197
20250401,dodson,follower,34,-0.5048786231716142,0.0023251443549394224,0.21800794515203759,0.21549021358391537
20250401,dodson,follower,35,-0.4252656947349134,0.012167092138493438,-0.2925699894008289,0.09312903153782164
20250401,dodson,follower,40,-0.6548131814263805,2.6486731045465804e-05,0.4047349189557145,0.017581393542495535
20250401,dodson,follower,41,-0.6392595471273774,4.70819626807403e-05,0.30436178418360466,0.08009626386608773
20250401,dodson,follower,42,-0.653770733035331,2.7555841197451295e-05,0.10467996700081696,0.5557436573619713
20250401,dodson,follower,44,-0.5678514013634546,0.00046026105073383776,0.09695810319058361,0.5854102073728161
20250401,dodson,follower,46,-0.5417731878118449,0.0009353699847625766,0.2748950765503468,0.11561926988271684
20250401,dodson,follower,57,-0.5630504039659442,0.0005267657504171976,-0.10499684777205634,0.5545413331944508
20250401,dodson,follower,58,-0.5566887238782963,0.0006279508990765338,0.33973430356675083,0.049323050247292936
20250401,dodson,follower,65,-0.613847360574768,0.00011290940448791977,0.33185243663890646,0.05519099957754321
20250401,dodson,follower,68,-0.5232529281207338,0.0014964039136418155,0.3062744353510324,0.07812248874176349
20250401,dodson,follower,69,-0.6315622500713429,6.186921761159267e-05,0.27557717154403727,0.11468219332133854
20250401,dodson,follower,71,-0.5476998496634244,0.0008001675832059838,0.04900019692304689,0.7831656784045752
20250401,dodson,follower,72,-0.3653618436885927,0.03360344457473511,0.45200264494505027,0.007281735119908197
20250401,dodson,follower,73,-0.48593496551640347,0.0035730638712312265,0.25472978183803435,0.14598299742674695
20250401,dodson,follower,76,-0.6391624462288492,4.724665310445815e-05,0.28514634972889713,0.10212836663422638
20250401,dodson,follower,77,-0.5702685980158899,0.0004296880370514688,0.24025601648850928,0.17110386333574407
20250401,dodson,follower,78,-0.5491888693934939,0.0007690400087258246,0.1698924426698702,0.33675926589138955
20250402,dodson,follower,25,-0.558167438772996,2.082320034674875e-05,0.22479113525164873,0.112761217308365
20250402,dodson,follower,33,-0.40430211183014386,0.003256064512350887,0.13889391647050686,0.33103431263738964
20250402,dodson,follower,59,-0.5204161214128745,9.056793481860516e-05,0.2567068724241521,0.06900134361461827
20250402,dodson,follower,73,-0.2555719654929407,0.0702813905650875,-0.11655863340266151,0.415335153422282
20250402,dodson,follower,83,-0.5479128634517919,3.159441831816481e-05,0.3487417616277134,0.012139608796926191
20250402,dodson,follower,87,-0.6295661145506373,7.457791861810337e-07,0.251127670259434,0.07547674933949787
20250402,dodson,follower,91,-0.06998267254590959,0.6255603003488834,-0.08948463456539464,0.5323254683248206
20250402,dodson,follower,117,-0.5506724780750643,2.8279277315135084e-05,0.34537113473746206,0.013057378086102056
20250402,dodson,follower,164,-0.45290066270640794,0.0008464158726261749,0.12760775938198948,0.372197191237629
20250402,dodson,follower,173,-0.5228629283622301,8.276767676977222e-05,0.21251871369170466,0.13433504981596228
20250402,dodson,follower,189,-0.5502423584585392,2.877397155870936e-05,0.2625408676249493,0.06271134189578427
20250402,dodson,follower,207,-0.5497020206637244,2.9406719851685248e-05,0.3461420226591625,0.012842394786574517
20250402,dodson,follower,267,-0.584741978401353,6.611801590407718e-06,0.2791553158609265,0.04728081292208633
20250402,dodson,follower,282,-0.5475041458803211,3.2114747120595064e-05,0.5695924966791582,1.2871729695588012e-05
