,unique_neuron,pull_encoding,gaze_encoding,juice_encoding,partner_PC1_encoding
891,20250424_MC_95,Reactive,Reactive,Reactive,Reactive
892,20250424_MC_101,Reactive,Reactive,Both,None
893,20250424_MC_108,Reactive,None,Both,Reactive
894,20250424_MC_112,Both,None,None,None
895,20250424_MC_114,None,None,None,None
896,20250424_MC_116,None,None,None,None
1005,20250428_MC_7,Reactive,Reactive,Both,Predictive
1006,20250428_MC_9,Reactive,Both,None,None
1007,20250428_MC_11,Both,Reactive,Both,None
1008,20250428_MC_15,Both,Both,Both,Predictive
1009,20250428_MC_17,Both,Reactive,Both,Predictive
1010,20250428_MC_20,Reactive,Reactive,Both,None
1011,20250428_MC_29,Both,Reactive,Predictive,Reactive
1012,20250428_MC_34,Both,Both,Both,Both
1013,20250428_MC_36,Both,None,Both,None
1014,20250428_MC_38,Reactive,None,None,None
1015,20250428_MC_40,None,None,None,None
1016,20250428_MC_44,Reactive,None,Reactive,None
1017,20250428_MC_45,Reactive,Reactive,Both,Predictive
1018,20250428_MC_48,Both,Both,Both,Predictive
1019,20250428_MC_57,Both,Reactive,Both,None
1020,20250428_MC_64,Reactive,None,None,None
1021,20250428_MC_69,Reactive,Predictive,Predictive,None
1022,20250428_MC_71,None,Reactive,Reactive,None
1023,20250428_MC_73,Reactive,None,Reactive,None
1069,20250429_MC_5,Reactive,Reactive,Both,Both
1070,20250429_MC_8,Reactive,None,None,None
1071,20250429_MC_11,Reactive,None,None,Both
1072,20250429_MC_12,None,None,None,None
1073,20250429_MC_18,Reactive,Predictive,None,None
1074,20250429_MC_26,Reactive,Both,Reactive,Both
1075,20250429_MC_28,Reactive,None,None,None
1076,20250429_MC_36,Reactive,None,None,None
1077,20250429_MC_41,None,None,None,None
1078,20250429_MC_43,Reactive,Both,Reactive,None
1079,20250429_MC_46,None,None,None,None
1080,20250429_MC_47,Reactive,Reactive,Both,Reactive
1081,20250429_MC_51,None,Reactive,Both,Both
1082,20250429_MC_59,Reactive,Both,None,None
1083,20250429_MC_62,Both,Reactive,Both,Both
1084,20250429_MC_67,Reactive,Both,None,Predictive
1085,20250429_MC_72,None,None,None,None
1086,20250429_MC_74,Both,Reactive,Both,Both
1087,20250429_MC_80,Both,Both,Both,Both
1088,20250429_MC_83,Both,Reactive,Both,Reactive
1089,20250429_MC_86,Reactive,Reactive,Both,Both
1090,20250429_MC_91,None,None,None,None
1091,20250429_MC_96,Reactive,Both,Reactive,Both
1092,20250429_MC_98,Both,Reactive,Reactive,None
1115,20250430_MC_3,None,None,None,None
1116,20250430_MC_10,None,None,None,None
1117,20250430_MC_12,None,None,None,None
1118,20250430_MC_14,None,None,None,None
1119,20250430_MC_16,Reactive,Reactive,None,None
1120,20250430_MC_23,Both,Reactive,Both,None
1121,20250430_MC_30,Reactive,None,None,None
1122,20250430_MC_34,Reactive,Reactive,Predictive,None
1123,20250430_MC_43,Both,Reactive,Both,None
1124,20250430_MC_47,Both,Both,Both,Both
1125,20250430_MC_53,Both,Both,Both,None
1126,20250430_MC_56,None,None,None,None
1127,20250430_MC_74,Reactive,Reactive,Reactive,None
1128,20250430_MC_79,Both,Reactive,Both,Predictive
1129,20250430_MC_82,None,None,Reactive,None
1130,20250430_MC_84,Reactive,None,Reactive,None
1131,20250430_MC_87,Both,Both,Both,None
1132,20250430_MC_98,None,None,None,None
1133,20250430_MC_108,Both,Reactive,Predictive,None
1134,20250430_MC_119,Reactive,None,None,None
1135,20250430_MC_121,None,None,None,None
1136,20250430_MC_123,None,None,None,None
1137,20250430_MC_125,None,None,None,None
