,dates,condition,act_animal,PC1_loading,bhv_name
81,20250211,MC_withKoala,dodson,0.4093956440184221,gaze_tube_angle
82,20250211,MC_withKoala,dodson,0.26576336286788105,gaze_lever_angle
83,20250211,MC_withKoala,dodson,-0.40974146480261436,animal_animal_dist
84,20250211,MC_withKoala,dodson,0.4390937290289333,animal_tube_dist
85,20250211,MC_withKoala,dodson,0.42361706588315173,animal_lever_dist
86,20250211,MC_withKoala,dodson,-0.18541952239042406,mass_move_speed
87,20250211,MC_withKoala,dodson,-0.15029227301217432,gaze_angle_speed
88,20250214,MC_withKoala,dodson,-0.3711245580964832,gaze_other_angle
89,20250214,MC_withKoala,dodson,0.47539456275443287,gaze_tube_angle
90,20250214,MC_withKoala,dodson,0.3179562688797467,gaze_lever_angle
91,20250214,MC_withKoala,dodson,-0.39779186798922156,animal_animal_dist
92,20250214,MC_withKoala,dodson,0.48464704125586877,animal_tube_dist
93,20250214,MC_withKoala,dodson,0.3727428264604038,animal_lever_dist
94,20250214,MC_withKoala,dodson,-0.04761543741754022,mass_move_speed
95,20250214,MC_withKoala,dodson,0.02906568022092417,gaze_angle_speed
96,20250218,MC_withKoala,dodson,-0.4085633084902209,gaze_other_angle
97,20250218,MC_withKoala,dodson,0.21559002691125595,gaze_tube_angle
98,20250218,MC_withKoala,dodson,-0.30921028194244815,gaze_lever_angle
99,20250218,MC_withKoala,dodson,-0.419575515579809,animal_animal_dist
100,20250218,MC_withKoala,dodson,0.42387509113171035,animal_tube_dist
101,20250218,MC_withKoala,dodson,-0.24683077862349098,animal_lever_dist
102,20250218,MC_withKoala,dodson,0.4068409620769671,mass_move_speed
103,20250218,MC_withKoala,dodson,0.32988976482672333,gaze_angle_speed
104,20250220,MC_withKoala,dodson,-0.39140963980683974,gaze_other_angle
105,20250220,MC_withKoala,dodson,0.44391362005555113,gaze_tube_angle
106,20250220,MC_withKoala,dodson,0.2205863512675985,gaze_lever_angle
107,20250220,MC_withKoala,dodson,-0.4290808121264729,animal_animal_dist
108,20250220,MC_withKoala,dodson,0.47875668909907904,animal_tube_dist
109,20250220,MC_withKoala,dodson,0.42097453613231234,animal_lever_dist
110,20250220,MC_withKoala,dodson,-0.0767010780272522,mass_move_speed
111,20250220,MC_withKoala,dodson,0.068263660137146,gaze_angle_speed
112,20250226,MC_withKoala,dodson,-0.44631907623294753,gaze_other_angle
113,20250226,MC_withKoala,dodson,0.49439257557124494,gaze_tube_angle
114,20250226,MC_withKoala,dodson,0.24105662711646783,gaze_lever_angle
115,20250226,MC_withKoala,dodson,-0.3574001434692093,animal_animal_dist
116,20250226,MC_withKoala,dodson,0.43903007175340497,animal_tube_dist
117,20250226,MC_withKoala,dodson,0.3044583002431736,animal_lever_dist
118,20250226,MC_withKoala,dodson,-0.23567722131975194,mass_move_speed
119,20250226,MC_withKoala,dodson,-0.17188976188900526,gaze_angle_speed
120,20250305,MC_withKoala,dodson,-0.4851759843252729,gaze_other_angle
121,20250305,MC_withKoala,dodson,0.47112545883093515,gaze_tube_angle
122,20250305,MC_withKoala,dodson,-0.042741173641503954,gaze_lever_angle
123,20250305,MC_withKoala,dodson,-0.4707828000967907,animal_animal_dist
124,20250305,MC_withKoala,dodson,0.49137415860185835,animal_tube_dist
125,20250305,MC_withKoala,dodson,0.18405646422444005,animal_lever_dist
126,20250305,MC_withKoala,dodson,0.2061602661667772,mass_move_speed
127,20250305,MC_withKoala,dodson,0.03680234195905334,gaze_angle_speed
128,20250310,MC_withKoala,dodson,-0.47897161031755525,gaze_other_angle
129,20250310,MC_withKoala,dodson,0.45484809028474743,gaze_tube_angle
130,20250310,MC_withKoala,dodson,-0.25420561255808105,gaze_lever_angle
131,20250310,MC_withKoala,dodson,-0.44469635124164697,animal_animal_dist
132,20250310,MC_withKoala,dodson,0.45948026838756867,animal_tube_dist
133,20250310,MC_withKoala,dodson,0.1070838318324432,animal_lever_dist
134,20250310,MC_withKoala,dodson,0.27958482630800513,mass_move_speed
135,20250310,MC_withKoala,dodson,0.023818770567666202,gaze_angle_speed
136,20250401,MC_withKanga,dodson,-0.37115693698565816,gaze_other_angle
137,20250401,MC_withKanga,dodson,0.2134684777059315,gaze_tube_angle
138,20250401,MC_withKanga,dodson,-0.37591969135668085,gaze_lever_angle
139,20250401,MC_withKanga,dodson,-0.35779087522493314,animal_animal_dist
140,20250401,MC_withKanga,dodson,0.39635852962953105,animal_tube_dist
141,20250401,MC_withKanga,dodson,-0.35728709018196847,animal_lever_dist
142,20250401,MC_withKanga,dodson,0.3651896169736332,mass_move_speed
143,20250401,MC_withKanga,dodson,0.35948046851432647,gaze_angle_speed
144,20250402,MC_withKanga,dodson,-0.40549347804927083,gaze_other_angle
145,20250402,MC_withKanga,dodson,0.36692536312567287,gaze_tube_angle
146,20250402,MC_withKanga,dodson,-0.3442683661291261,gaze_lever_angle
147,20250402,MC_withKanga,dodson,-0.4126091856563083,animal_animal_dist
148,20250402,MC_withKanga,dodson,0.42224362401207194,animal_tube_dist
149,20250402,MC_withKanga,dodson,0.1937547103471894,animal_lever_dist
150,20250402,MC_withKanga,dodson,0.2961012362615857,mass_move_speed
151,20250402,MC_withKanga,dodson,0.32964717689251843,gaze_angle_speed
152,20250403,MC_withKanga,dodson,-0.3763843003719829,gaze_other_angle
153,20250403,MC_withKanga,dodson,0.1090067466497959,gaze_tube_angle
154,20250403,MC_withKanga,dodson,-0.3962576312484807,gaze_lever_angle
155,20250403,MC_withKanga,dodson,-0.36923807776377926,animal_animal_dist
156,20250403,MC_withKanga,dodson,0.4001155856284824,animal_tube_dist
157,20250403,MC_withKanga,dodson,-0.3109054896006304,animal_lever_dist
158,20250403,MC_withKanga,dodson,0.35196092101623755,mass_move_speed
159,20250403,MC_withKanga,dodson,0.4152882420388797,gaze_angle_speed
160,20250409,MC_withKanga,dodson,-0.42068581905565194,gaze_other_angle
161,20250409,MC_withKanga,dodson,0.287643708274148,gaze_tube_angle
162,20250409,MC_withKanga,dodson,-0.3828547262011776,gaze_lever_angle
163,20250409,MC_withKanga,dodson,-0.41957164836049965,animal_animal_dist
164,20250409,MC_withKanga,dodson,0.40365064484209423,animal_tube_dist
165,20250409,MC_withKanga,dodson,0.10567386040172075,animal_lever_dist
166,20250409,MC_withKanga,dodson,0.31515188470215116,mass_move_speed
167,20250409,MC_withKanga,dodson,0.3797958806626118,gaze_angle_speed
168,20250415,MC_withKanga,dodson,0.41623571692986605,gaze_other_angle
169,20250415,MC_withKanga,dodson,-0.42851641310718447,gaze_tube_angle
170,20250415,MC_withKanga,dodson,0.24667865388115706,gaze_lever_angle
171,20250415,MC_withKanga,dodson,0.46613640660120326,animal_animal_dist
172,20250415,MC_withKanga,dodson,-0.4859435828354259,animal_tube_dist
173,20250415,MC_withKanga,dodson,0.3155082365702243,animal_lever_dist
174,20250415,MC_withKanga,dodson,0.05703182802517019,mass_move_speed
175,20250415,MC_withKanga,dodson,-0.161396286696614,gaze_angle_speed
176,20250417,MC_withKanga,dodson,-0.4722038358461508,gaze_other_angle
177,20250417,MC_withKanga,dodson,0.4277208760446344,gaze_tube_angle
178,20250417,MC_withKanga,dodson,-0.15570784516779154,gaze_lever_angle
179,20250417,MC_withKanga,dodson,-0.32565192690310124,animal_animal_dist
180,20250417,MC_withKanga,dodson,0.4865910423958345,animal_tube_dist
181,20250417,MC_withKanga,dodson,0.3860668368340609,animal_lever_dist
182,20250417,MC_withKanga,dodson,0.20935968263362895,mass_move_speed
183,20250417,MC_withKanga,dodson,0.1847548573378129,gaze_angle_speed
184,20250422,MC_withKanga,dodson,-0.4021246538708947,gaze_other_angle
185,20250422,MC_withKanga,dodson,0.21043280151995356,gaze_tube_angle
186,20250422,MC_withKanga,dodson,-0.3658207648331637,gaze_lever_angle
187,20250422,MC_withKanga,dodson,-0.37236030707871465,animal_animal_dist
188,20250422,MC_withKanga,dodson,0.39835452697740475,animal_tube_dist
189,20250422,MC_withKanga,dodson,-0.34981412311354765,animal_lever_dist
190,20250422,MC_withKanga,dodson,0.32525523969165643,mass_move_speed
191,20250422,MC_withKanga,dodson,0.3670007461611376,gaze_angle_speed
192,20250423,MC_withKanga,dodson,-0.4178951524401091,gaze_other_angle
193,20250423,MC_withKanga,dodson,0.35126678137050826,gaze_tube_angle
194,20250423,MC_withKanga,dodson,-0.31298593980314127,gaze_lever_angle
195,20250423,MC_withKanga,dodson,-0.4301504333666684,animal_animal_dist
196,20250423,MC_withKanga,dodson,0.44811331823777095,animal_tube_dist
197,20250423,MC_withKanga,dodson,0.03164447517726505,animal_lever_dist
198,20250423,MC_withKanga,dodson,0.3497755320805022,mass_move_speed
199,20250423,MC_withKanga,dodson,0.30795430569999344,gaze_angle_speed
200,20250424_MC,MC_withKanga,dodson,-0.41854894360498535,gaze_other_angle
201,20250424_MC,MC_withKanga,dodson,0.31109896531822295,gaze_tube_angle
202,20250424_MC,MC_withKanga,dodson,-0.3374052752308162,gaze_lever_angle
203,20250424_MC,MC_withKanga,dodson,-0.4331381295948576,animal_animal_dist
204,20250424_MC,MC_withKanga,dodson,0.42209427174422914,animal_tube_dist
205,20250424_MC,MC_withKanga,dodson,0.1517943178775623,animal_lever_dist
206,20250424_MC,MC_withKanga,dodson,0.304225967796089,mass_move_speed
207,20250424_MC,MC_withKanga,dodson,0.364451269529816,gaze_angle_speed
208,20250428_MC,MC_withKanga,dodson,-0.4514255990215641,gaze_other_angle
209,20250428_MC,MC_withKanga,dodson,0.4117349334390805,gaze_tube_angle
210,20250428_MC,MC_withKanga,dodson,-0.20214461324421615,gaze_lever_angle
211,20250428_MC,MC_withKanga,dodson,-0.4647370278637575,animal_animal_dist
212,20250428_MC,MC_withKanga,dodson,0.483217729158845,animal_tube_dist
213,20250428_MC,MC_withKanga,dodson,0.25316303217663155,animal_lever_dist
214,20250428_MC,MC_withKanga,dodson,0.082523453515975,mass_move_speed
215,20250428_MC,MC_withKanga,dodson,0.255822806622366,gaze_angle_speed
216,20250429_MC,MC_withKanga,dodson,-0.5069226141512266,gaze_other_angle
217,20250429_MC,MC_withKanga,dodson,0.39053595635919425,gaze_tube_angle
218,20250429_MC,MC_withKanga,dodson,-0.1566410399364044,gaze_lever_angle
219,20250429_MC,MC_withKanga,dodson,-0.37799383367181805,animal_animal_dist
220,20250429_MC,MC_withKanga,dodson,0.4038824528328445,animal_tube_dist
221,20250429_MC,MC_withKanga,dodson,-0.07010990842140245,animal_lever_dist
222,20250429_MC,MC_withKanga,dodson,0.32253013037276085,mass_move_speed
223,20250429_MC,MC_withKanga,dodson,0.38862997362918045,gaze_angle_speed
224,20250430_MC,MC_withKanga,dodson,-0.4639945292648134,gaze_other_angle
225,20250430_MC,MC_withKanga,dodson,0.39836134285998637,gaze_tube_angle
226,20250430_MC,MC_withKanga,dodson,-0.12096816554348244,gaze_lever_angle
227,20250430_MC,MC_withKanga,dodson,-0.4521676007362321,animal_animal_dist
228,20250430_MC,MC_withKanga,dodson,0.5077508206067113,animal_tube_dist
229,20250430_MC,MC_withKanga,dodson,0.3318352519657014,animal_lever_dist
230,20250430_MC,MC_withKanga,dodson,0.04565062861756217,mass_move_speed
231,20250430_MC,MC_withKanga,dodson,0.19214310013499808,gaze_angle_speed
